좌표1,좌표2,좌표3,좌표4,url
130,130,226,163,Gyeonggi/
204,179,250,259,Gyeonggi/
133,226,217,272,Gyeonggi/
198,144,234,204,Gyeonggi/
327,711,431,748,jeju/
63,303,188,418,Chungcheongnam/
167,299,203,324,Chungcheongnam/
186,376,198,397,Chungcheongnam/
222,420,248,441,Chungcheongnam/
190,332,213,373,sejong/
212,380,223,407,daejeon/
228,383,232,404,daejeon/
98,460,131,553,jeonbuk/
137,446,246,534,jeonbuk/
176,530,241,552,jeonbuk/
155,426,178,451,jeonbuk/
219,449,281,471,jeonbuk/
192,442,225,461,jeonbuk/
68,553,121,588,jeonnam/
90,609,267,725,jeonnam/
178,571,244,626,jeonnam/
116,576,172,604,gwangju/
312,329,483,437,gyeongbuk/
362,423,405,507,daegu/
266,514,423,570,gyeongnam/
428,559,479,613,busan/
447,494,501,553,ulsan/
239,270,303,445,chungbuk/
265,98,390,228,gangown/
